product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00342,루나,LUNA,롱래스팅 팁 컨실러 커버 핏 EX [SPF34/PA++] [21N],,베이스메이크업,컨실러,True,True,False,False,False,False,False,True,False,False,False,product_name_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00343,제니에,,글로우8 펩타이드 세럼,,오일,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00344,아토팜,ATOPALM,이지워시 선스크린 [SPF50+/PA++++],,선케어,선크림/로션,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00345,에이에스씨이플러스,,카밍앰플 프로,,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00346,에이에스씨이플러스,,더블: 이엑스 시그널 패드 프로,,토너 패드,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00347,몽디에스,Mongdies,선크림 [SPF50+/PA++++],,로션,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00348,일리윤,illiyoon,세라마이드 아토 집중 크림,Ceramide Ato Concentrate Cream 150mL,젤,,True,True,False,True,False,False,False,True,True,True,True,subcategory|skin_type_signal|texture
P00349,핀브,,오브제 트루베 글로우 파운데이션 [SPF50+ PA++++] [21호 라이트베이지],,베이스메이크업,파운데이션,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00350,루온셀,,하이 리프트 겔 마스크,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00351,에이에스씨이플러스,,엑소밤-SR2,,멀티밤,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00352,닥터지,Dr.G,레드 블레미쉬 클리어 수딩 크림 EX,,,,True,True,False,False,False,False,True,False,False,False,False,product_name_en|category|subcategory|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00353,에스쁘아,espoir,더마 커버 블레미쉬 밤 [SPF50+/PA++++] [10호 애쉬 아이보리],,CC크림,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00354,토니모리,TONYMOLY,세라마이드 모찌 토너,,,,True,True,True,False,False,True,True,False,False,False,False,product_name_en|category|subcategory|concern_signal|texture|oliveyoung_global_offer
P00355,벌쓰티,,글로우 핸드 앤 바디 워시 [케이크 프롬 수지],,바디,바디워시,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00356,벌쓰티,,레이어드 핸드 앤 바디 로션 [케이크 프롬 수지],,밤,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00357,,,노마디아블루 진정 판테놀 1% 클렌징 밀크,,,,True,True,True,False,False,False,True,False,False,False,False,product_name_en|brand_en|category|subcategory|concern_signal|texture|oliveyoung_global_offer
